ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,LCSC Assembly,JLCPCB SMD,Paste Type,Description
1,10uF 0603,C1,0603SMALLFP,1,,,,,,,,,
2,22uF 0603,"C2,C5",0603SMALLFP,2,,,,,,,,,
3,10uF,"C3,C9",C0603,2,CL10A106KP8NNNC,SAMSUNG,LCSC,C19702,0.009,Yes,Yes,base,
4,15pf 0603,"C6,C7",0603SMALLFP,2,,,,,,,,,
5,10uf 0603,C8,0603SMALLFP,1,,,,,,,,,
6,2.2uF,C14,C0603,1,CL10A225KQ8NNNC,Samsung Electro-Mechanics,LCSC,C71000,0.0187,,,expand,
7,100nF,"C10,C11,C12,C13,C15,C16,C17",C0402,7,C0402X5R104M160NTB,Shenzhen Eyang Tech Development,LCSC,C115657,0.0144,,,,
8,10nF,"C18,C19",C0402,2,C0402X7R103K160NTB,Shenzhen Eyang Tech Development,LCSC,C183760,0.0068,,,expand,
9,1uF,"C20,C21",C0603,2,CL10B105KA8NNNC,SAMSUNG,LCSC,C29936,0.0074,Yes,Yes,expand,
10,Molex PicoBlade 2C,"CN1,CN2,CN3,CN4",CONN-TH_0530470210,4,53047-0210,MOLEX,Element14,9733051,,,,,
11,"1PS76SB40,115",D1,SOD-323_L1.8-W1.3-LS2.5-RD,1,"1PS76SB40,115",Nexperia,LCSC,C179320,0.0653,Yes,,,
12,2450FM07D0034,F1,2450FM07D0034,1,2450FM07D0034,Johanson Technology,Digi-Key,712-1654-1-ND,,,,,2.45GHz Impedance Matched Front-End Filter
13,B,JP1,SJ_2S-NO-NS,1,,,,,,,,,
14,1uH,L3,L0805,1,LQM21PN1R0MEHD,Murata Electronics,LCSC,C162584,0.1473,,,,
15,WS2812B-2020,"LED1,LED2,LED3,LED4",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,4,WS2812B-2020,Worldsemi,LCSC,C965555,0.1805,Yes,,expand,
16,TJ-S1608SW6TGLC2G-A5,"LED5,LED6,LED7",LED0603-RD,3,TJ-S1608SW6TGLC2G-A5,TOGIALED,LCSC,C192316,0.0175,Yes,,,
17,FrSky OSD Mini,OSD,FRSKY OSD MINI FOOTPRINT,1,,FrSky,,,,,,,
18,FDMA410NZ,"Q1,Q2,Q3,Q4",MICROFET-2X2,4,,,,,,,,,
19,IRLML6402TRPBF,Q5,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,IRLML6402TRPBF,IR,LCSC,C2593,0.0925,,Yes,recommend,
20,10K,"R1,R2,R3,R4",R0402,4,0402WGJ0103TCE,UniOhm,LCSC,C25531,0.0005,,,expand,
21,2.2K,"R5,R9,R10",R0402,3,0402WGF2201TCE,UniOhm,LCSC,C25879,0.0008,Yes,Yes,base,
22,10K,"R7,R8,R12,R13",R0402,4,CR0402JF0103G,LIZ,LCSC,C100572,0.0006,,,,
23,STM32F722RET6,U1,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,STM32F722RET6,STMicroelectronics,LCSC,C118207,14.8045,Yes,Yes,expand,
24,TPS61240DRVR,U2,WSON-6_L2.0-W2.0-P0.65-TL-EP,1,TPS61240DRVR,TI,LCSC,C59567,1.3699,Yes,Yes,expand,
25,STM32L432KBU6,U3,UFQFPN-32_L5.0-W5.0-P0.50-BL-EP,1,STM32L432KBU6,STMicroelectronics,LCSC,C94784,3.5963,Yes,,,
26,SX1280IMLTRT,U4,QFN24-4X4-0.5,1,,,,,,,,,
27,MPU6500,U5,QFN-24_L3.0-W3.0-P0.40-BL-EP,1,MPU6500,InvenSense,LCSC,C50278,2.2641,Yes,,expand,
28,TLV75533PDBVR,U8,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,TLV75533PDBVR,Texas Instruments,LCSC,C404027,0.7288,Yes,Yes,expand,
29,MOLEX 105133-0001,USB1,MOLEX 105133-0001,1,,,,,,,,,
30,CSTNE8M00G55Z000,X2,CSTNE8M00G55Z000,1,CSTNE8M00G55Z000,Murata Electronics North America,Digi-Key,490-17960-1-ND,,,,,
31,52Mhz,X3,OSC-SMD_4P-L2.0-W1.6-BL,1,NX2016SA-52MHZ-EXS00A-CS06016,"NDK America, Inc.",Digi-Key,NX2016SA-52MHZ-EXS00A-CS06016,,,,,
